,index,Emotion,Statement
1323,4953,joy,"When I was accepted for my third year (G-10) at my former  _x000D_
secondary school."
1328,4318,joy,"When after 10 months of national service I was ""downgraded"" and  _x000D_
did not have to do the remaining 5 months."
1329,2805,fear,When I was nearly beaten up by the brother of my girlfriend.
1339,5264,joy,Getting into this university.
1341,5196,joy,"I met my girlfriend on the way and she joyfully welcomed me on  _x000D_
the way home."
1342,2386,fear,"I studied medicine for several semesters and at that time I  _x000D_
developed a great fear of examinations. I was most afraid of my  _x000D_
examination of anatomy. While other students were examined, I was  _x000D_
dissecting. I was able to hear everything and was waiting with  _x000D_
fear until it was my turn."
1343,3090,fear,"I was afraid to walk through the forest one day when I dropped  _x000D_
off the bus around 6.30 pm."
1344,2323,fear,"I was walking home with a friend at night along a quiet street.   _x000D_
Something started rustling in the bush : it was an exhibitionist."
1346,5176,joy,"There was joy in me when I heard that I was to take a course as a  _x000D_
Medical Assistant."
1349,2156,fear,"On the way home one Friday night in the heavy rain the car  _x000D_
acquaplanned.  I lost contact with the road surface for a few  _x000D_
seconds."
1354,5192,joy,"That was soon after the results of the interview which nearly  _x000D_
9,000 people attended in all the three regions of Malawi. My joy  _x000D_
came after hearing on the radio that I was one of the people  _x000D_
selected to undergo the Medical Assistant training at the  _x000D_
L.S.H.S."
1358,5309,joy,Being asked to go out by someone I care. 
1361,2914,fear,Before the first examn.
1364,4578,joy,I was admitted to the University and a niece was born to me.
1368,2686,fear,"I wanted to get in contact with a girl I loved, but I was afraid  _x000D_
she would refuse me."
1370,3022,fear,"I once felt that my last hour had come when I was unexpectedly found  _x000D_
in the hands of."
1374,5096,joy,"After watching the 49ers lose game after game, year after year, I  _x000D_
was finally rewarded with a Super Bowl victory which made me  _x000D_
extremely happy."
1378,4685,joy,"I passed successfully the preliminary exam for a participation in  _x000D_
the children Assembly."
1381,2510,fear,"When I and the person mentioned above had a suspicion of  _x000D_
pregnancy."
1385,3016,fear,"My illness a few years back.  I was sevely down with malaria and  _x000D_
asthma, I had lost my health, charm and cheerfulness completely."
1387,4833,joy,"When I went to visit a friend in the hospital. She had to undergo  _x000D_
an operation for rupture. I was glad to hear that the operation  _x000D_
succeeded and that she was relieved of her pain."
1389,4401,joy,When in an economic crisis I got an unexpected sum of money.
1391,2780,fear,Waiting for my marks in a difficult subject.
1395,2258,fear,Falling off a cliff in the mountains.
1396,2398,fear,"When I had my first oral examination after a long time;  _x000D_
especially one day before the examination when I had the feeling  _x000D_
that I had not studied enough and had not enough time to make up  _x000D_
for it."
1397,5146,joy,When I passed the 12th standard board exams.
1401,2177,fear,"I was driving and a deer suddenly appeared in front of the  _x000D_
car when there was a lot of traffic behind me."
1406,3179,fear,"Fear of the turn that the examination paper would take as I  _x000D_
lacked confidence."
1412,2518,fear,"I feel fear when I only imagine I could lose confidence in my own  _x000D_
abilities and powers. A similar feeling I feel sometimes before  _x000D_
an exam."
1414,4502,joy,"Several days after my final examination at school, I was sitting  _x000D_
in an airplane on my way to Greece. I enjoyed that moment very  _x000D_
much."
1424,4450,joy,"I was in a restaurant with my boyfriend when I saw my best female  _x000D_
friend after not seeing her for two weeks.  We rejoyced, hugged  _x000D_
and had a long talk."
1426,2324,fear,"When abroad, while driving a car along a dark, winding road."
1437,5031,joy,"When the Cambridge results came out and I obtained a first  _x000D_
division.  I had been thinking that I had not done very well."
1440,5352,joy,"When I received the result slip of the higher level examination  _x000D_
(an university entrance exam) and saw that I had a very good  _x000D_
possibility of being accepted into the university, I felt very  _x000D_
excited."
1445,4302,joy,Passed the last exam.
1453,2830,fear,"When I came back from work one day, the friends of my son told me  _x000D_
that he had not come back from school and that he was lost."
1455,2486,fear,When I was just to be divorced.
1457,3038,fear,"My brother lost his temper and started smashing things in the  _x000D_
house.  I was quite scared, that something terrible might happen,  _x000D_
till the situation was brought under control."
1458,4657,joy,"When I heard what mark I had got at the entrance examination and  _x000D_
I realized my admittance to the University was almost certain."
1459,4398,joy,"When the bank let me borrow some money this winter, after my  _x000D_
grant was spent."
1463,4906,joy,"My sister in law was about to have a child, and there were some  _x000D_
problems.  They had to do a Caesarean.  After a while, everything   _x000D_
was all right."
1470,5331,joy,"When I saw the certificate results, I did not feel very happy as I  _x000D_
did not realize that I had got all the credits until my  _x000D_
classmates pointed it out to me.  My parents and my relatives  _x000D_
praised me and I realized that my results were good i.e 2A, 5B,  _x000D_
2C.  I felt satisfied with the results and was happy."
1473,4309,joy,I stopped working (had a boring job).
1474,2338,fear,"My sister had to undergo a very complicated operation, her  _x000D_
eyesight was at stake."
1479,3067,fear,"When we were going to Nkhoma last Saturday the vehicle was moving  _x000D_
very fast, so I feared we might crash since the road was too  _x000D_
rough."
1481,3030,fear,Before the examn.
1490,2359,fear,"One evening I stayed at home all alone. As we lived on the ground  _x000D_
floor, I was often afraid of burglers."
1499,2276,fear,In the dark an unreal figure formed by a shadow.
1510,5052,joy,"It was the weekend of my homecoming. I saw my sister for the  _x000D_
first time in 3 months. She's my best friend and extremely close."
1512,2988,fear,"When I was 20 years old, I fell severely ill and was bed-ridden for  _x000D_
6 months.  I felt very scared for my health and my studies."
1514,2457,fear,"On embarking on University life. I came from a different city and  _x000D_
did not know anybody at the Uni. I was frightened because my well  _x000D_
known and loved friends, also all my security had been taken  _x000D_
away."
1516,4883,joy,"I came across a friend with whom I had lost touch for a long  _x000D_
time."
1519,2956,fear,"While skiing in Squaw Valley, I was riding up a chair lift and  _x000D_
right when the chair was above a sheer cliff of rocks, the chair  _x000D_
lift stopped and all the chairs sagged and everything seemed to  _x000D_
creak loudly."
1522,3046,fear,"When I saw a dead body in the mortuary I became afraid and I was  _x000D_
filled with fear."
1523,5100,joy,"Getting sent on a company expense trip to another state to work  _x000D_
for a week at that plan."
1525,3073,fear,"I was studying in class at night. I was in Form II by then. There  _x000D_
were rumours about an earthquake. That night dogs were chasing  _x000D_
one another and passed through the window outside the classroom.  _x000D_
Those who saw the dogs thought it was a lion and were terrified.  _x000D_
Trying to run away the desks were dragged and there was a shaking  _x000D_
movement. I thought it was an earthquake and jumped out of the  _x000D_
window."
1527,2940,fear,"Upon reading a story on a serial killer by the name of Henry Lee  _x000D_
Lucas who has been given the distinction of killing more people  _x000D_
that any other man. I began to wonder if I should take more care  _x000D_
for my safety."
1528,2319,fear,"Someone knocked on the door when I was alone at home (though  _x000D_
there was a door bell).  I looked through the peep hole but it  _x000D_
had been covered.  I called my sister but she could not help me  _x000D_
as she was hundreds of kilometres away."
1531,4703,joy,"When I learned that my parents were going abroad and leaving me  _x000D_
alone for a few years."
1534,2885,fear,"When our school was raided by the pupils of the boys secondary  _x000D_
school who beat us up."
1535,4701,joy,When I knew that my husband and I were going to have a child.
1546,2288,fear,When my father was very drunk and raging at home.
1550,2895,fear,"When the time came for me to see dead bodies and to operate on  _x000D_
them."
1552,3198,fear,"During the first year in university I had bad results in both  _x000D_
the terms, especially the first term.  I was afraid that  I would  _x000D_
not be promoted to the next year and that the others would go  _x000D_
ahead of me."
1554,3063,fear,"It was when I stepped on a python (snake) unknowingly while it  _x000D_
was sleeping near a baobab tree."
1556,2987,fear,When I was coming back home alone at night.
1559,3210,fear,"When I was young I had gone to an old lift and played with the  _x000D_
antique lift.  The guy discovered me and warned me, I was very  _x000D_
frightened."
1562,2837,fear,"I was a passenger in a vehicle when suddenly another vehicle came  _x000D_
from behind to overtake us.  However another one was coming right  _x000D_
in front so the other vehicle changed course and blocked our way  _x000D_
and so we crashed against the side of the road."
1570,5054,joy,"Went to a movie with a date, walked on the beach (in Alameda)  _x000D_
spent some time afterwards in her apt."
1571,4283,joy,I felt very happy when I won the football pools.
1573,2708,fear,"When I was 12 years old I frequently was pursued by others and  _x000D_
got sound thrashes."
1574,2584,fear,I fear before each exam.
1575,4506,joy,"I had a singing-lesson, but I was not very good. The last  _x000D_
exercise was singing scales. I did that very well and my teacher  _x000D_
seemed satisfied."
1576,3147,fear,Finding out that a boy I do not like is in love with me.
1577,4635,joy,"I was in the living room at home with an ex-boyfriend, it was  _x000D_
nearly a year that we had separated, during the talk he began to  _x000D_
remember our courting and gave me a long kiss."
1580,3032,fear,"I was very scared at the time of the Ty.B.Sc examination as I had  _x000D_
decided to get 1st class results.  I was afraid thinking of how  _x000D_
the papers would be."
1586,2337,fear,Car accident in the middle of the night.
1587,2747,fear,"Before knowing my marks I was not sure that I wanted to go to  _x000D_
that class."
1592,2854,fear,"In 1960,  I was going to a school which was near my village and I  _x000D_
met a lion on the way, which disappeared suddenly."
1593,2752,fear,"One day I went to the cinema to see a film in which I was  _x000D_
interested.  On arriving there I saw a long queue (which I had  _x000D_
not expected) and went back home without seeing the film."
1602,5072,joy,I gave my mom a gift she wanted for years. I raflected her joy.
1608,2799,fear,When someone tried to bewitch me and my friends at night.
1611,3145,fear,Walking in the dark and thinking about ghost stories.
1614,2995,fear,"I was coming home from a relative's place and it was about  _x000D_
9.30/10 P.M.  I felt slightly apprehensive when I got off the bus  _x000D_
and started walking towards my place.  I was confident that  _x000D_
nothing would happen to me, yet there was this slight feeling of  _x000D_
fear."
1615,2325,fear,"My episode of fright happened when I came to study.  I had to  _x000D_
stand in front of my still unknown fellow students and talk about  _x000D_
myself.  My hands shook, I flushed and became tongue-tied."
1618,2157,fear,"When I flew from Athens to Copenhagen after a holiday.  The plane  _x000D_
was caught in a storm and it began to shake and I thouhght that  _x000D_
we were going to crash."
1624,4868,joy,"I got my driving licence after they had frightened me with it's  _x000D_
difficulty."
1625,5183,joy,"I felt joy when I passed my Malawi School Certificate of  _x000D_
Education."
1630,3006,fear,"One day, early morning my mother who is healthy fell ill.  There  _x000D_
was no doctor or compounder near by and for a few hours -8 A.M to  _x000D_
6 P.M she did not speak a single sentence, nor did she drink water  _x000D_
or  milk.  There was no movement in her body and I felt really  _x000D_
scared.  I almost lost my confidence about her survival."
1632,5046,joy,Got a big fish in fishing.
1636,2998,fear,"When I was working in Delhi, I had gone alone to see the hostel  _x000D_
where I would be residing."
1641,4788,joy,When I passed the driving test (on the second try).
1642,4382,joy,"Receiving a postcard form my sweetheart who was abroad on  _x000D_
vacation, not being at all sure if he would write me or not."
1645,4363,joy,"After I had made my debut at Ullevi against IFK, Gottenburg and  _x000D_
got a good write up in the paper."
1646,4932,joy,When I passed the grade 7 exam.
1649,2160,fear,"While taking a short cut through the Vasa park, I was surrounded  _x000D_
by three people who tried to steal my money.  I was scared and  _x000D_
was saved only by the appearance of other people."
1651,2653,fear,"When I entered the operation theatre and underwent a difficult  _x000D_
operation."
1655,2453,fear,"When in a car accident where car was total wipe off (wipe out, or  _x000D_
write off)."
1657,2426,fear,"As a child (i.e. 5-7) hiking in reasonably rugged bush and  _x000D_
becoming lost for a duration of 5-7 hours."
1658,2672,fear,"One night at three o'clock I was followed by a cardriver, who  _x000D_
tried to molest me."
1659,3194,fear,"When I went home and there was nobody, I waited till 2 A.M and       _x000D_
still nobody.  I was suddenly scared and anxious as this had never  _x000D_
happened before.  In addition my mother was very weak and I  _x000D_
feared that she had met with an accident.  Therefore I was anxious   _x000D_
all night."
1661,2667,fear,"When I was six years old we were on holiday in France. There was  _x000D_
very heavy weather then."
1662,2262,fear,"I came home and discovered that someone had broken in. Then I  _x000D_
realized that they probably were still there."
1666,3122,fear,Facing a mad dog.
1669,5005,joy,Finally being asked by someone to a banquet.
1670,4534,joy,A night spent with a group of friends.
1671,2674,fear,I was raped by a friend.
1672,4849,joy,When my father was saved from a severe work accident.
1676,4616,joy,"I had a friend who I didn't see for a long time. We had a  _x000D_
relationship from much union and interaction. It was more that  _x000D_
one year that I didn't see her. She appeared in my home and we  _x000D_
talked."
1685,4620,joy,"When I discovered that I and my friend would be licensed at the  _x000D_
first call. This emotion was accompanied by a great relief. It  _x000D_
was the coronation of a year of sacrifice and extrene discipline."
1690,3099,fear,"When I heard that my father had found a letter from my boyfriend  _x000D_
and he was calling me to talk about it."
1693,2654,fear,On the scenic railway at the fairground.
1696,5338,joy,"After a busy day I went back to my hostel.  I closed the door and  _x000D_
had a drink, then I read my favourite book on the bed.  Suddenly  _x000D_
I felt peace and joy."
1697,5177,joy,"When I was in Form 4, at Secondary School, I was elected as a  _x000D_
school Library Assistant and also the leader of Catholic  _x000D_
Students, so I felt very joyous."
1699,2265,fear,"Motorcycle accident with two people involved, running off the  _x000D_
road. Broke an arm, only."
1702,4651,joy,When I passed the driving test after three failures.
1706,4611,joy,"I was travelling in the South of Brasil, near the end of the  _x000D_
year. I was well settled with 3 friends. At the evening of 31 M.,  _x000D_
somebody, also with us, took from his purse pints of all colours,  _x000D_
and the 4 of us, and other friends, that were at the same beach,  _x000D_
painted each other and we went to the beach with champagne."
1710,4541,joy,"My current lover and I had been very busy with work and study and  _x000D_
had not had time alone together for almost a month until one  _x000D_
afternoon recently when we made love for hours and then showered  _x000D_
and ate together."
1711,3058,fear,"At primary school I was accused by some boys of being in love  _x000D_
with a certain girl in their class so they had to shout and beat  _x000D_
the girl and the matter was reported to the headmaster."
1712,2301,fear,"My father had been drinking and I feared him when we went to bed  _x000D_
at night."
1715,5065,joy,Going to Chico to visit a friend.
1717,2973,fear,"On my second plane trip, we ran into unexpected turbulence."
1719,4575,joy,"When I began to date a boy with whom I am till now. This was 16  _x000D_
months ago."
1725,4894,joy,"I received an unexpected letter from a friend I had met a short  _x000D_
time before.  He sent me a poem and wished me good luck.  I felt  _x000D_
very happy because I had great esteem for that person."
1742,2798,fear,"When my father's home was to be broken into by thieves who had  _x000D_
guns."
1743,2723,fear,"When I was very young, one day, I was in the street with my  _x000D_
father and brother.   While my father was talking to some  _x000D_
friends, I saw a dog and began to pat it.  My father told me  _x000D_
sharply to stop doing it because the dog had mange.  Then my  _x000D_
brother told me that I would die and I could not stop crying  _x000D_
after this."
1745,5179,joy,"When I was told that I was selected to attend Medical Assistant  _x000D_
Training."
1746,3113,fear,"Lost my purse, the money in the purse belonged to my parents."
1747,5180,joy,"When my father married a certain lady. The reception was held at  _x000D_
Kasungu town Hall."
1748,2167,fear,"When I was the first to arrive at the scene after an accident,  _x000D_
and found that a close school friend had been killed."
1749,5295,joy,Finding out that the person I love understands me.
1753,3014,fear,"At the age of 16 I had gone to see a film in a nearby village,  _x000D_
about 8 kms  from my home.  I started walking as there was no  _x000D_
bus.  I had to cross hills and as it was dark I could not  _x000D_
identify the path.  Half way through it started raining and as  _x000D_
there was no shelter I ran four kms to reach home."
1755,2572,fear,"I was a bit frightened when it was found that there was something  _x000D_
wrong with my liver. However it turned out that it was not  _x000D_
serious and I need not worry."
1756,4966,joy,When I was accepted at UNZA.
1757,2620,fear,When I was attacked by a teenage boy and had my wallet stolen.
1759,4696,joy,"I was happy when I understood that the girl I liked was in love  _x000D_
with me."
1764,3036,fear,"When I came to know that my exams were on two successive days and  _x000D_
that there was very little time (about 9-10 hours) to study in  _x000D_
between."
1773,2851,fear,When I had to walk along a dark road alone.
1775,4797,joy,"When my boyfriend once again told me that he loved me after a  _x000D_
period in which he felt very depressive."
1778,4873,joy,"My father had an operation which lasted for hours.  We were all  _x000D_
very worried but it was successful."
1780,4723,joy,My 3 children - each top his class in the final exams 1984.
1783,5240,joy,Accepted by the college football team.
1784,2787,fear,"When I was at home alone, I felt a super-natural force, dangerous  _x000D_
for me and the people close to me."
1789,3085,fear,"One day during our clinical practices, we had a very ill patient.  _x000D_
Unfortunately the patient passed away. I had seen him dying and  _x000D_
it was the first experience. During the night I became afraid  _x000D_
fearing the dead body."
1793,2817,fear,The possibility of having failed the examination.
1797,2618,fear,Haven't been frightened for ages.
1798,4796,joy,"A fellow player, quite unexpectedly, scores a goal, which means a  _x000D_
draw."
1800,3183,fear,"I remember that my form 2 teacher was very fierce and dogmatic.   _x000D_
My feet would tremble whenever I saw her but I had to face the fact that  _x000D_
I had to go for her class. "
1801,4927,joy,When I got first division in the exams before leaving school.
1803,3170,fear,"When I received the higher level exam results, I mistook the  _x000D_
grade E in mathematics for a grade F and I was shocked."
1804,3070,fear,"When it was found that I had gone out of the school premises  _x000D_
without permisssion and at the wrong time."
1805,5188,joy,"This emotion happened when I passed my primary school examination  _x000D_
and was selected for Secondary School."
1810,4496,joy,"For about one year I had a rather bad relation with my father.  _x000D_
Last Christmas Eve he invited me to stay withhim and I was very  _x000D_
glad about it. It was a fine evening."
1812,3211,fear,"After listening to ghost stories with my classmates I had to back  _x000D_
alone to the hostel at night.  I had to walk through a long and  _x000D_
quiet road and I was scared of meeting a ghost."
1817,5344,joy,"It was the first time I met him (my boyfriend Mr.W).  It was  _x000D_
during the first term Summer vacations.  We met each other while  _x000D_
handing in our homework.  He invited me have a trip with him and  _x000D_
we were together till 8 P.M."
1821,2859,fear,"I was working at a certain place and everyday after work dad  _x000D_
would come to pick me up.  One day he did not come, it started  _x000D_
getting very dark and I had no money on me and my home was very,  _x000D_
very far away."
1826,5316,joy,"When I first heard ""I like you !"" from my boyfriend."
1828,5213,joy,"I wrote a difficult Exam at one time while in my Secodary School.  _x000D_
When the results were announced on the radio, I came second out  _x000D_
of 80 students hence I felt joy."
1829,2883,fear,"When I lost a wallet while travelling, since it belonged to the  _x000D_
group I was very afraid."
1835,4456,joy,"While watching an entertainment program in which there was a clever   _x000D_
and amusing sketch."
1840,4795,joy,"Spending the nitht with close friends, after being away (out of  _x000D_
Nijmegen) for a while."
1842,3134,fear,Going out alone in the dark.
1846,5009,joy,"In 1980 when I was in the 12th standard, we had arranged a small  _x000D_
picnic in Kandala.  One of my closest friends wrote a small and  _x000D_
cute poem for me, which expressed the feeling of closeness we had  _x000D_
for each other.  I was very thrilled and I can still remember it."
1847,5091,joy,"My old boyfriend - yes the same one - asked me out. We had a good  _x000D_
time. Then he asked me out the following week. He actually took  _x000D_
interest."
1848,3077,fear,"I felt fear when one night my aunt and Uncle left me alone at  _x000D_
their house to look after the baby when they went to a party."
1849,4622,joy,"A meeting with the family and the friends I felt dear and loved,  _x000D_
sharing the gladness of being together at a birthday."
1855,5153,joy,"After sitting for the Standard 8 Exams for the second time in  _x000D_
1979, I had great joy when I heard that I was successful in the  _x000D_
Examination when the results were out."
1857,2960,fear,"I was driving on to a busy freeway during rush hour and it was  _x000D_
slightly raining. A diesel truck was coming very close behind me  _x000D_
and I was close behind a pick-up. I changed lanes and barely hit  _x000D_
the truck and ran a Honda of the road. I was scared to death to  _x000D_
go back and see if I caused him to crash."
1858,5040,joy,Doing well in the examn.
1860,4916,joy,"On holiday, seeing the lanscape in Gerona."
1864,4516,joy,"I had a quarrel with my fiancT. When he admitted his fault,  _x000D_
everything was allright. It was then for the first time that he  _x000D_
surprised me with coffee and cake and a bunch of flowers."
1865,4483,joy,"After a weekend at a seminar I saw my husband again. I hurried  _x000D_
home hoping he would be there. We embraced - I enjoyed feeling  _x000D_
his body."
1872,2797,fear,"I was almost caught in the girls hostel by the security men, I  _x000D_
would have been expelled from school had I been caught."
1874,2592,fear,Watching a horror movie with friends.
1878,2213,fear,"When I missed crashing, by a hair's breadth, into a man who came  _x000D_
out 20 metres ahead of me when I was driving at 110km/h."
1880,2507,fear,That someone would discover whom I really love.
1882,2320,fear,"While cycling in the country a dog started running beside me,  _x000D_
growling and barking, and trying to bite my foot."
1899,5124,joy,"When I got the scholarship I was very happy as the finacial  _x000D_
burden of the family was reduced."
1901,2396,fear,"Before I went to the urologist's I was afraid for several  _x000D_
reasons: because it was for the first time, because the medical  _x000D_
check-up might be painful, because of the uncertainty and because  _x000D_
someone had informed me about it."
1903,2863,fear,"When my neighbour's life was threatened by someone who was trying  _x000D_
to break into his house."
1904,4772,joy,When passing the final examinations for social worker.
1905,2759,fear,When my mother had a nervous illness.
1912,2175,fear,Was nearly knocked down by a car.
1918,2658,fear,"Together with a little brother I biked on a lonely road in the  _x000D_
Polder. Then we were annoyed by a boy on a motorbike: he  _x000D_
took over, stopped, took over, etc. Then we saw he had something  _x000D_
in his hand, we turned until we came across a man, who  _x000D_
accompanied us."
1921,4370,joy,"I was in hospital, and then was visited by someone quite  _x000D_
unexpected."
1922,5204,joy,"I met a certain lady at Mchesi and I proposed a word of love to  _x000D_
her and at the same time she accepted my proposal."
1923,5140,joy,"I felt happy at the end of a 10 day student camp.  We had shared  _x000D_
our hopes and aspirations and in the open situation so generated, we  _x000D_
had made strong frienships and experienced our own worth as well.  _x000D_
 "
1928,2668,fear,Fear to come and live in Nijmegen.
1929,2191,fear,"When I was reprimanded by the manager of the hotel where I  _x000D_
worked during Autumn 1984."
1936,2784,fear,"I was watching a procession during the Holy week, and a penitent  _x000D_
approached me."
1939,2427,fear,"Car accident. Travelling as a passenger along narrow bitumen road  _x000D_
at night - trying to overtake semi-trailer. The truck pulled over  _x000D_
onto our side and we hit the wet dirt, swerved back into the  _x000D_
truck, back onto the verge, over a guide post and into a ditch."
1941,2370,fear,When I crashed my car.
1946,5060,joy,"Last year my freshman yr. It was a day in March I did well on  _x000D_
some tests. I seemed to finally adjust to college, it was hot and  _x000D_
sunny. I was walking in front of a frat. when I heard Beach Boys  _x000D_
""Surfin'USA"". I had this overwhelming feeling that to be at CAL  _x000D_
was good. I still have it somewhat."
1948,4336,joy,"When my husband and I decided to take a few days holiday after a  _x000D_
particularly trying period."
1950,2264,fear,"Was threatened with a knife ... in the military by soldiers form  _x000D_
another unit. The reason was girls."
1951,4951,joy,"When I was appointed by the Ministry of health to join the  _x000D_
teaching staff of one of the medical colleges."
1953,4319,joy,"When my older sister told us that she was thinking of joining the  _x000D_
rest of the family for the winter sports holiday."
1956,2385,fear,"I was in a dark cellar and saw a glowing red point. I thought  _x000D_
that it was a person with a cigarette - but it was only the red  _x000D_
switch."
1961,4402,joy,"I was coming home from an exam and I supposed that I had  _x000D_
passed it so I ran to a restaurant for a beer."
1966,4653,joy,"I sensed this feeling when I passed successfully the second tour  _x000D_
of a competition."
1970,2489,fear,"When my father died I felt myself alone and the fear possessed me.  _x000D_
I was a child and all my sisters and brothers (8) were young."
1981,2768,fear,"I was walking with another person when a ""gang"" separted us and  _x000D_
pushed me in to a house, hit me in the stomach and the face, then  _x000D_
they left - leaving me bleeding."
1986,2621,fear,"As a result of breaking the indicator light as mentioned  _x000D_
for guilt."
1989,3128,fear,Watching a horror film.
1991,2418,fear,"When my boyfriend was leaving to go home one night, I had a very  _x000D_
deep sense of uneasiness and an unwarranted fear that I wouldn't  _x000D_
see him again."
1994,3161,fear,Talking about snakes.
1996,2550,fear,"I had to have my tonsils out. I had been making up my mind almost  _x000D_
for a year - I was afraid. But during the two hours in the  _x000D_
hospital room, while I was waiting to be called for the operation I  _x000D_
felt a real fear - of the pain, of what they were going to do to  _x000D_
me, of the unknown."
1998,2513,fear,When I whatched a horror film on a Friday 13th.
2007,3208,fear,"After seeing a horror film - Omen.  I could not sleep at night   _x000D_
even though I closed my eyes.  The last scene of the film kept  _x000D_
coming back to me, I seemed to hear the girls in the film  _x000D_
shouting at the devil.  The devil did not have any expression on  _x000D_
his face and I thought that he would choose me."
2009,2855,fear,"In 1977 when my friend was caught by a crocodile.  We were  _x000D_
swimming in a river on whose banks our primary school was  _x000D_
situated.  When my friend was caught, he was on the banks of the  _x000D_
river and some of us were still in the middle of the river.  I  _x000D_
was very frightened."
2011,4784,joy,"When on holiday in Greece I called my best friend, she told me  _x000D_
she passed the examinations and that she had been admitted to the  _x000D_
study for speech therapy."
2030,4860,joy,"When I was told that I could take a week off and go for a trip  _x000D_
with my friends."
2049,2827,fear,"I had gone for a medical check-up at the U.T.H and failed to make  _x000D_
it back on time for the C119 practical sessions at 1400 hours  _x000D_
last academic year."
2051,2384,fear,"When I was 8 years old my tonsils had to be operated on. This is  _x000D_
not a complicated operation, but just before it started I was  _x000D_
very afraid so that I will never forget it."
2053,2189,fear,When my son has a pain in his leg (for no apparent reason).  
2054,4569,joy,"When I received my TE Score and my acceptance from University -  _x000D_
it had been a goal since I left the bank a year earlier."
2057,4645,joy,"When my nephew was born. The birth was hard, it was a big baby."
2058,2933,fear,Getting back my Psych 140 midterm.
2059,4928,joy,When I had my four children.
2060,4599,joy,When I got a wedding ring of diamond from the boy I loved.
2062,2366,fear,"Car accident nearly occurred between us and drunk driver coming  _x000D_
in opposite direction it missed us by approx 1 m and collided  _x000D_
(after rolling twice midair) into nearby scrub."
2064,2928,fear,I confronted a bigger person than I and almost got into a fight.
2066,4926,joy,"When I was accepted for further education, here at the  _x000D_
university."
2068,4944,joy,"My girlfriend wrote to me telling me that she was four months  _x000D_
pregnant and that I was responsible for the ""damages"".  This made  _x000D_
me happy as I longed to have a child to call mine."
2069,2413,fear,"I was walking home late at night from lectures and someone  _x000D_
deliberately started following me. It was dark and I was scared."
2071,2179,fear,"When I was travelling by tram, I tripped and fell against the  _x000D_
door.  I thought that I was going to fall out."
2074,2531,fear,"One fears many things, for example one fears going to the  _x000D_
dentist. but as far as I am concerned this feeling is connected  _x000D_
with the examination session."
2075,2840,fear,"When thieves broke into our neighbour's house and later we heard  _x000D_
gunshots."
2079,4826,joy,"I felt joy when I heard that I was accepted for the Free  _x000D_
University in Driebergen."
2087,5353,joy,"I had a dream : I had a very close friend who had several stone  _x000D_
houses in the New Territories (villages) but they did not have  _x000D_
much furniture.  He took me to see his fields (I had never seen  _x000D_
them before) and there were several inches of clear water on  _x000D_
which the sunshine was reflected.  I wanted to sit among the  _x000D_
short green plants in the fields but was afraid of treading the  _x000D_
plants to death.  My friend said ""They will not die"" and I sat  _x000D_
down happily and my trousers did not get wet."
2089,4646,joy,"Some time ago I was present at the wedding party of two close  _x000D_
friends of mine."
2096,5051,joy,"Achieving my goal at a swim meet. I worked toward the goal for 9  _x000D_
yrs. I was capable of achieving it, but I didn't know when."
2101,5047,joy,When my boyfriend and I made up.
2103,2955,fear,"Before I moved away from home, I feared leaving."
2104,2997,fear,When I almost walked on a snake.
2110,4583,joy,"When I achieved my first 6 at University after a long string of  _x000D_
3's, 4's and 5's (7 is the highest mark awarded, 3 is a conceded  _x000D_
pass)."
2111,2471,fear,"When I was curious about it and went to a spiritism session with a  _x000D_
friend. I had already been there other times (many times when I  _x000D_
was younger) but that day, even if I don't believe in  _x000D_
spiritism I was terribly afraid that something would happen to me  _x000D_
(sort of incorporation !)."
2115,2946,fear,"When I began school at UC. The pre-enrollment the classes, and  _x000D_
the question of success really scared me."
2123,4438,joy,"[ During inter-rail-trip, after troubles, I met my little  _x000D_
sister.]"
2125,5090,joy,"I spoke with a friend on the phone who I haven't seen in many  _x000D_
years. It was a joyful event to talk to him."
2126,2223,fear,"After having slept for a short time I woke up - I had the feeling  _x000D_
of someone standing beside me and was very frightened. I had to  _x000D_
turn on the light turn on the light for several minutes before I  _x000D_
was able to get to sleep again."
2128,2975,fear,"I'm afraid of not being able to go to the school I want because  _x000D_
of suffering grades."
2129,2294,fear,"My husband had gone to drive a strange, broken car.  At the  _x000D_
agreed time, he had not returned, and I feared that he had had an  _x000D_
accident."
2138,4481,joy,"I received a letter and a Christmas present from a person I had  _x000D_
not seen for two years."
2141,2329,fear,"I work at a day care centre, and one day when the children were  _x000D_
outdoors a four-year old boy disappeared from the yard.  I was  _x000D_
not looking after them then, but as the manager it was me who was  _x000D_
responsible."
2142,2626,fear,"Stopped at lights in Mangere late one Friday night on way home  _x000D_
from work. Alone in car when someone came up behind the car and  _x000D_
started banging and shaking it. Light was red and had nowhere to  _x000D_
go until light changed. When green I took off."
2144,2449,fear,"When I was to sit for my first entrance exam. I had fear of a  _x000D_
possible failure."
2147,2429,fear,"I was in about Grade 7, I came home from school one day and was told  _x000D_
that my mother had skin cancer and would have to go to the hospital  _x000D_
straight away."
2152,3106,fear,"I was fearful when I realised that the relish was overcooked  _x000D_
simply because I was not keen enough at checking whether there  _x000D_
was still enough water in the relish or not, instead I was just  _x000D_
playing with my friends."
